workers,durable,flush_ms,prototype_tps,baseline_tps,ratio
1,false,0,413627.21,22988.12,17.99
1,false,10,1557797.47,163697.57,9.52
1,false,1000,1618637.50,238845.44,6.78
1,true,0,78424.14,20674.00,3.79
1,true,10,85671.09,17507.29,4.89
1,true,1000,83562.86,24941.62,3.35
2,false,0,842370.53,16650.54,50.59
2,false,10,1727346.84,25483.94,67.78
2,false,1000,2052141.92,27921.61,73.50
2,true,0,85496.74,14963.09,5.71
2,true,10,67258.08,15629.08,4.30
2,true,1000,84860.85,17177.29,4.94
4,false,0,4226369.47,16435.88,257.14
4,false,10,3953747.49,37679.82,104.93
4,false,1000,4110296.93,43705.06,94.05
4,true,0,84831.85,18090.69,4.69
4,true,10,85137.49,18108.47,4.70
4,true,1000,85797.37,16762.42,5.12
6,false,0,7239285.85,17453.23,414.78
6,false,10,5836185.01,54374.62,107.33
6,false,1000,6005870.03,52328.14,114.77
6,true,0,85278.96,18293.37,4.66
6,true,10,83605.26,18470.88,4.53
6,true,1000,84187.28,16310.49,5.16
8,false,0,5951268.15,19084.54,311.84
8,false,10,5643146.10,51484.85,109.61
8,false,1000,5668004.57,48923.80,115.85
8,true,0,82239.65,17763.63,4.63
8,true,10,84448.03,18158.37,4.65
8,true,1000,84224.76,4195.47,20.08
