workers,durable,flush_ms,proto_tps,proto_send_p50_ms,proto_send_p95_ms,proto_write_p50_ms,proto_write_p95_ms,proto_sync_p50_ms,proto_sync_p95_ms,proto_flush_p50_ms,proto_flush_p95_ms,baseline_avg_tps,baseline_p50_tps,baseline_p95_tps,baseline_p99_tps,baseline_avg_flush_ms,baseline_p50_flush_ms,baseline_p95_flush_ms,transfer_avg_ms,transfer_p95_ms,tps_ratio_proto_over_baseline
1,False,0,3217461.57,0.0,0.0,0.004,0.331,0.0,0.0,0.0,0.0,11214.71,10489.08,15368.61,16021.06,8.399,7.523,14.532,0.005,0.045,286.89654658925645
1,False,10,2364759.54,0.002,0.052,0.009,0.085,0.0,0.0,0.0,0.0,188460.04,113909.73,525506.4,657993.16,0.108,0.118,0.199,0.007,0.058,12.547803449473957
1,False,1000,1522167.3,0.003,0.08,0.02,0.16,0.0,0.0,0.0,0.0,111734.29,87984.23,290926.48,406336.59,0.308,0.135,1.135,0.043,0.093,13.623099050434742
1,True,0,83572.84,0.0,0.0,0.042,0.238,2.946,3.753,0.0,0.0,10075.57,10202.42,13267.66,13295.72,7.56,6.847,11.543,0.008,0.091,8.294601694990954
1,True,10,83369.83,0.0,0.0,0.031,0.115,2.961,3.816,0.0,0.0,9787.23,10253.79,11519.98,11588.68,7.534,7.948,9.255,0.009,0.082,8.518225279266964
1,True,1000,82673.04,0.0,0.0,0.042,0.155,2.959,3.379,0.0,0.0,11331.4,10631.38,15481.46,17127.21,7.555,8.054,10.59,0.008,0.054,7.2959245989021655
2,False,0,3548676.05,0.0,0.01,0.009,0.129,0.0,0.0,0.0,0.0,7021.77,7049.7,8008.81,8066.58,11.896,11.234,18.193,0.008,0.063,505.38198346001076
2,False,10,3723027.14,0.002,0.052,0.01,0.063,0.0,0.0,0.0,0.0,15628.74,14903.51,23474.13,25557.48,0.184,0.169,0.299,0.008,0.05,238.21671740652158
2,False,1000,3831678.27,0.002,0.038,0.01,0.055,0.0,0.0,0.0,0.0,15495.51,16008.57,20940.59,22658.81,0.153,0.144,0.299,0.01,0.086,247.27668014799124
2,True,0,86847.22,0.0,0.0,0.04,0.116,2.95,3.47,0.0,0.0,7492.2,7761.28,9855.15,10105.48,12.091,10.205,20.654,0.007,0.07,11.591684685406156
2,True,10,83638.36,0.0,0.0,0.041,0.163,2.952,3.928,0.0,0.0,7738.92,7838.84,10218.14,10475.82,12.18,10.237,20.06,0.014,0.044,10.80749768701576
2,True,1000,85277.78,0.0,0.0,0.04,0.129,2.951,3.477,0.0,0.0,7433.01,7735.59,8632.09,8882.28,13.274,12.477,19.852,0.011,0.063,11.472846128284504
4,False,0,6479816.76,0.0,0.0,0.006,0.025,0.0,0.0,0.0,0.0,7979.06,7949.95,9292.5,9370.16,19.064,18.051,26.833,0.007,0.055,812.1027740109737
4,False,10,5045122.06,0.0,0.013,0.006,0.138,0.0,0.0,0.0,0.0,20242.11,18900.25,26839.9,26855.66,0.097,0.09,0.142,0.006,0.077,249.23894099972776
4,False,1000,6803478.15,0.0,0.011,0.005,0.095,0.0,0.0,0.0,0.0,22143.73,20273.62,32110.04,32581.86,0.247,0.141,0.772,0.009,0.096,307.24174066428736
4,True,0,85501.37,0.0,0.0,0.036,0.104,2.956,3.066,0.0,0.0,8247.49,8351.47,9390.84,9396.59,20.218,19.789,24.287,0.007,0.068,10.366956492217632
4,True,10,86225.81,0.0,0.0,0.036,0.093,2.961,3.074,0.0,0.0,7882.22,7910.85,9398.99,9469.81,20.931,21.628,25.802,0.006,0.058,10.939279796808513
4,True,1000,71555.67,0.0,0.0,0.045,0.196,2.955,3.761,0.0,0.0,8320.94,7965.8,9945.36,10016.91,20.923,19.852,26.045,0.006,0.033,8.599469531086632
6,False,0,5757544.19,0.0,0.0,0.006,0.084,0.0,0.0,0.0,0.0,8920.02,9056.88,10993.47,11642.59,25.523,25.205,30.773,0.007,0.062,645.4631480646905
6,False,10,6568266.4,0.0,0.0,0.006,0.09,0.0,0.0,0.0,0.0,22930.51,24557.24,27650.58,28693.57,0.149,0.156,0.212,0.008,0.1,286.442229152339
6,False,1000,6417145.81,0.0,0.0,0.006,0.085,0.0,0.0,0.0,0.0,26173.11,24963.87,32080.7,32309.37,0.184,0.126,0.441,0.007,0.07,245.1808673099987
6,True,0,82853.16,0.0,0.0,0.037,0.115,2.959,3.372,0.0,0.0,9131.33,9126.85,10680.48,10907.5,25.302,23.049,37.868,0.012,0.058,9.073504078814368
6,True,10,84133.82,0.0,0.0,0.033,0.107,2.963,3.151,0.0,0.0,8644.64,9006.02,10626.44,10785.89,25.054,24.5,31.409,0.01,0.068,9.732483943807956
6,True,1000,81256.32,0.0,0.0,0.047,0.298,2.958,3.482,0.0,0.0,9483.46,9464.53,11352.93,11989.41,27.903,27.596,35.15,0.008,0.063,8.56821455460349
8,False,0,1682815.67,0.0,0.0,0.006,0.124,0.0,0.0,0.0,0.0,8854.29,8890.34,9540.43,9736.24,33.513,34.03,37.242,0.005,0.046,190.05653417721803
8,False,10,2234830.93,0.0,0.0,0.01,0.243,0.0,0.0,0.0,0.0,15480.91,15245.37,24507.07,25093.05,0.893,0.173,3.931,0.01,0.112,144.36043682186641
8,False,1000,2756164.27,0.0,0.0,0.009,0.149,0.0,0.0,0.0,0.0,28235.7,28721.7,36536.12,37924.51,0.184,0.156,0.359,0.01,0.116,97.6127480459135
8,True,0,45712.8,0.0,0.0,0.077,1.199,2.964,13.619,0.0,0.0,8958.16,9271.48,10071.21,10127.66,36.785,35.528,51.548,0.011,0.063,5.102922921671415
8,True,10,64829.86,0.0,0.0,0.07,0.563,2.933,5.808,0.0,0.0,8751.25,8790.69,9963.39,9970.71,34.205,32.566,46.323,0.006,0.055,7.408068561634052
8,True,1000,73046.79,0.0,0.0,0.039,0.14,2.963,4.068,0.0,0.0,9964.69,10139.33,10884.48,10915.82,34.475,35.076,41.518,0.011,0.071,7.3305632187253185
